Title,Sponsors,Deadline,Amount,Link
Advances in High Resolution Mass Spectrometry,"NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
"Ethical, Legal, and Social Implications (ELSI) of Genomics Exploratory/Developmental Research Grant Program (R21)","NIH, NCI, NIEHS, NIDCD, NIMHD, NHGRI, NICHDNational Institute of Child Health and Human Development, NIAID, NIA, NINDS",2020-09-07T00:00:00,3000000,https://grants.nih.gov/grants/guide/pa-files/PA-17-446.html
"Aero-Effects for High Energy Laser Systems, Experiments and Computations","AFRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Integrating Performance Enhanced Proxies with Bundle Protocols over High Assurance Internet Protocol Encryptions,"AFRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
BRAIN Initiative: Tools to Facilitate High-Throughput Microconnectivity Analysis (R01),"NIH, NCCIH, NIBIB, NIDCD, NICHDNational Institute of Child Health and Human Development, NIA, NIDA, NIMH, NIAAA, NEI, NINDS",2018-11-13T00:00:00,4000000,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-18-505.html
"Data assimilation, including clouds, radar and boundary layer, and global subseasonal coupled modeling and forecasting","NOAA, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Science at Extreme Scales: Where Big Data Meets Large-Scale Computing,IPAM,2018-06-12T00:00:00,1000,https://www.ipam.ucla.edu/programs/long-programs/science-at-extreme-scales-where-big-data-meets-large-scale-computing/?tab=application
"Organic and Inorganic Polymer Hybrids for High Temperature Composite Resins, Adhesives and Coatings","AFRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Integrative Computational Biology for Analysis of NHLBI TOPMed Data (R01),"NIH, NHLBI",2018-07-06T00:00:00,3000000,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-18-020.html
Development of Energy Allocation Models for Juvenile Fishes at High Latitudes,"NOAA, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
High Average Power Laser Development,"NRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Naturalistic Driving Data Analyses,"R&T, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Secondary Data Analyses to Explore NIMH Research Domain Criteria (R03),"NIH, NIMH",2020-03-16T00:00:00,4000000,https://grants.nih.gov/grants/guide/pa-files/PAR-17-158.html
